House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
8,Pinewood Bridge,Angela,Howells,11,Daughter,NA,Female,Student,None,No Religion
8,Pinewood Bridge,Owen,Howells,9,Son,NA,Male,Student,None,Christian
9,Pinewood Bridge,Robert,Webster,86,Head,Divorced,Male,Retired Interior and spatial designer,None,No Religion
10,Pinewood Bridge,Teresa,Lawrence,55,Head,Single,Female,Unemployed,None,No Religion
10,Pinewood Bridge,Liam,Thomas,55,Partner,Single,Male,IT consultant,None,No Religion
10,Pinewood Bridge,Karen,Lawrence,23,Daughter,Single,Female,Primary school teacher,None,No Religion
10,Pinewood Bridge,Cheryl,Lawrence,14,Daughter,NA,Female,Student,None,No Religion
11,Pinewood Bridge,Emma,Webster,55,Head,Married,Female,Forensic scientist,None,Christian
11,Pinewood Bridge,Rhys,Webster,57,Husband,Married,Male,Arboriculturist,None,Christian
11,Pinewood Bridge,Bethan,Webster,15,Daughter,NA,Female,Student,None,No Religion
12,Pinewood Bridge,Leanne,Thompson,38,Head,Single,Female,"Scientist, water quality",None,No Religion
12,Pinewood Bridge,Brian,Bryant,40,Partner,Single,Male,Chief Strategy Officer,None,No Religion
12,Pinewood Bridge,Joshua,Thompson,10,Son,NA,Male,Student,None,No Religion
12,Pinewood Bridge,Cameron,Thompson,7,Son,NA,Male,Student,None,No Religion
13,Pinewood Bridge,Angela,Walton,72,Head,Widowed,Female,"Retired Horticulturist, amenity",None,Christian
13,Pinewood Bridge,Elizabeth,Walton,33,Daughter,Single,Female,"Lighting technician, broadcasting/film/video",None,Christian
13,Pinewood Bridge,Trevor,Walton,30,Son,Divorced,Male,Furniture designer,None,Christian
13,Pinewood Bridge,Kelly,Walton,25,Daughter,Single,Female,Chartered certified accountant,None,Christian
13,Pinewood Bridge,Dale,Walton,25,Son,Single,Male,"Scientist, water quality",None,Christian
13,Pinewood Bridge,Emily,Walton,23,Daughter,Single,Female,Community arts worker,None,Christian
14,Pinewood Bridge,Mary,Patel,42,Head,Married,Female,Meteorologist,None,Christian
14,Pinewood Bridge,Timothy,Patel,44,Husband,Married,Male,Equities trader,None,Christian
14,Pinewood Bridge,Jake,Blackburn-Patel,14,Son,NA,Male,Student,None,No Religion
14,Pinewood Bridge,Kate,Blackburn-Patel,13,Daughter,NA,Female,Student,None,Christian
15,Pinewood Bridge,Samantha,Ingram,43,Head,Married,Female,Estate agent,None,Christian
15,Pinewood Bridge,Benjamin,Ingram,37,Husband,Married,Male,Aid worker,None,Christian
15,Pinewood Bridge,Gavin,Ingram,10,Son,NA,Male,Student,None,No Religion
15,Pinewood Bridge,Dylan,Ingram,7,Son,NA,Male,Student,None,Christian
16,Pinewood Bridge,Mandy,Robinson,79,Head,Divorced,Female,Retired Sport and exercise psychologist,None,No Religion
17,Pinewood Bridge,Tracey,Andrews,36,Head,Divorced,Female,Unemployed,None,Christian
17,Pinewood Bridge,Benjamin,Andrews,4,Son,NA,Male,Child,None,NA
17,Pinewood Bridge,Charlotte,Andrews,1,Daughter,NA,Female,Child,None,NA
17,Pinewood Bridge,Paul,Andrews,1,Son,NA,Male,Child,None,NA
17,Pinewood Bridge,Derek,Andrews,1,Son,NA,Male,Child,None,NA
17,Pinewood Bridge,Debra,Andrews,1,Daughter,NA,Female,Child,None,NA
17,Pinewood Bridge,Katherine,Andrews,1,Daughter,NA,Female,Child,None,NA
18,Pinewood Bridge,Melissa,Hunter,41,Head,Divorced,Female,Pension scheme manager,None,Christian
18,Pinewood Bridge,Henry,Hunter,17,Son,NA,Male,Student,None,NA
19,Pinewood Bridge,Lydia,Hall,56,Head,Married,Female,Research scientist (maths),None,Christian
19,Pinewood Bridge,Joseph,Hall,61,Husband,Married,Male,Maintenance engineer,None,No Religion
19,Pinewood Bridge,Eleanor,Hall,43,Daughter,Single,Female,Aid worker,None,Christian
19,Pinewood Bridge,Debra,Hall,43,Daughter,Single,Female,Company secretary,None,Christian
19,Pinewood Bridge,Douglas,Hall,40,Son,Divorced,Male,Public librarian,None,Christian
20,Pinewood Bridge,Simon,Walker,39,Head,Divorced,Male,Unemployed,None,Christian
20,Pinewood Bridge,Paul,Baxter,33,Lodger,Divorced,Male,Unemployed,None,No Religion
20,Pinewood Bridge,Nigel,Marsh,59,Lodger,Single,Male,Early years teacher,None,No Religion
20,Pinewood Bridge,Cameron,Rogers,29,Lodger,Single,Male,Hydrogeologist,None,No Religion
21,Pinewood Bridge,Chloe,Edwards,78,Head,Divorced,Female,"Retired Producer, radio",None,No Religion
22,Pinewood Bridge,Kayleigh,Williams,45,Head,Single,Female,"Development worker, international aid",None,Christian
22,Pinewood Bridge,Lindsey,Hughes,44,Partner,Single,Female,Office manager,None,Christian
22,Pinewood Bridge,Joel,Williams,1,Son,NA,Male,Child,None,Christian
23,Pinewood Bridge,Maureen,Ali,30,Head,Single,Female,Gaffer,None,Muslim
23,Pinewood Bridge,Rachael,Moss,39,None,Single,Female,Plant breeder/geneticist,None,Christian
23,Pinewood Bridge,Chloe,Miles,43,None,Single,Female,Radio producer,None,No Religion
23,Pinewood Bridge,Declan,Morgan,57,None,Single,Male,Chiropractor,None,No Religion
23,Pinewood Bridge,Elizabeth,Cross,43,None,Single,Female,"Nurse, adult",None,No Religion
24,Pinewood Bridge,Howard,Brown,48,Head,Married,Male,Air broker,None,Christian
24,Pinewood Bridge,Sheila,Brown,42,Wife,Married,Female,Biomedical scientist,None,No Religion
24,Pinewood Bridge,Leanne,Brown,13,Daughter,NA,Female,Student,None,No Religion
24,Pinewood Bridge,Stephen,Brown,8,Son,NA,Male,Student,None,Christian
25,Pinewood Bridge,Georgia,Pugh,37,Head,Single,Female,Public relations officer,None,No Religion
25,Pinewood Bridge,Paula,Khan,26,None,Single,Female,Research scientist (maths),None,Christian
25,Pinewood Bridge,Diana,Fry,45,None,Single,Female,"Editor, magazine features",None,No Religion
25,Pinewood Bridge,Marcus,Harvey,46,None,Single,Male,Radio broadcast assistant,None,Christian
25,Pinewood Bridge,Mary,Wilson,36,None,Divorced,Female,Geochemist,None,Christian
25,Pinewood Bridge,Andrew,West,47,None,Single,Male,"Therapist, nutritional",None,Christian
26,Pinewood Bridge,Dylan,Armstrong,54,Head,Married,Male,Database administrator,None,Christian
26,Pinewood Bridge,Leanne,Armstrong,50,Wife,Married,Female,Video editor,None,Christian
26,Pinewood Bridge,Denise,Clarke,73,Cousin,Widowed,Female,Retired Sports coach,None,No Religion
26,Pinewood Bridge,Denise,Smith,73,Cousin,Widowed,Female,"Retired Psychologist, clinical",None,Christian
27,Pinewood Bridge,Joan,Dobson,40,Head,Divorced,Female,"Lecturer, higher education",None,No Religion
27,Pinewood Bridge,Olivia,Dobson,15,Daughter,NA,Female,Student,Blind,NA
27,Pinewood Bridge,Deborah,Dobson,12,Daughter,NA,Female,Student,None,NA
27,Pinewood Bridge,Kyle,Dobson,9,Son,NA,Male,Student,None,NA
28,Pinewood Bridge,Rosemary,Johnson,52,Head,Married,Female,Administrator,None,Christian
28,Pinewood Bridge,Jeremy,Johnson,52,Husband,Married,Male,Graphic designer,None,Christian
28,Pinewood Bridge,Jemma,Johnson,15,Daughter,NA,Female,Student,None,Christian
29,Pinewood Bridge,Iain,Rhodes,57,Head,Single,Male,Unemployed,None,Christian
29,Pinewood Bridge,Hollie,Bennett,31,None,Single,Female,"Embryologist, clinical",None,No Religion
29,Pinewood Bridge,Charlene,Alexander,64,None,Single,Female,"Surveyor, mining",None,Christian
29,Pinewood Bridge,Clare,Patel,37,None,Single,Female,"Scientist, research (life sciences)",None,Christian
30,Pinewood Bridge,Dawn,Lambert,30,Head,Single,Female,Sports administrator,None,No Religion
31,Pinewood Bridge,Billy,Wilson,39,Head,Married,Male,Chartered accountant,None,Christian
31,Pinewood Bridge,Patricia,Wilson,38,Wife,Married,Female,Health promotion specialist,None,Christian
31,Pinewood Bridge,Jodie,Wilson,13,Daughter,NA,Female,Student,None,Christian
31,Pinewood Bridge,Jonathan,Wilson,10,Son,NA,Male,Student,None,Christian
31,Pinewood Bridge,Jamie,Wilson,8,Son,NA,Male,Student,None,Christian
31,Pinewood Bridge,Grace,Wilson,7,Daughter,NA,Female,Student,None,Christian
32,Pinewood Bridge,Marie,Hurst,35,Head,Married,Female,"Production designer, theatre/television/film",None,Christian
32,Pinewood Bridge,Ross,Hurst,37,Husband,Married,Male,Meteorologist,None,Christian
32,Pinewood Bridge,Wayne,Hurst,3,Son,NA,Male,Child,None,Christian
32,Pinewood Bridge,Conor,Perkins,47,Lodger,Single,Male,"Education officer, museum",None,Christian
33,Pinewood Bridge,Gemma,Preston,49,Head,Single,Female,"Administrator, sports",None,Christian
34,Pinewood Bridge,Sally,White,73,Head,Widowed,Female,Retired Public house manager,None,Christian
35,Pinewood Bridge,Kathleen,Hooper,65,Head,Widowed,Female,Unemployed,None,Christian
35,Pinewood Bridge,Diana,Hooper,32,Daughter,Single,Female,Contractor,None,Christian
36,Pinewood Bridge,Linda,Hughes,42,Head,Married,Female,"Librarian, academic",None,No Religion
36,Pinewood Bridge,Alexander,Hughes,40,Husband,Married,Male,Chiropractor,None,No Religion
36,Pinewood Bridge,Clifford,Hughes,12,Son,NA,Male,Student,None,No Religion
37,Pinewood Bridge,Martin,Smith,83,Head,Married,Male,Retired Fisheries officer,None,No Religion
37,Pinewood Bridge,Amanda,Smith,84,Wife,Married,Female,Retired Paramedic,None,No Religion
37,Pinewood Bridge,Douglas,Smith,45,Son,Single,Male,"Education officer, community",None,No Religion
37,Pinewood Bridge,Andrea,Smith,43,Daughter,Divorced,Female,Unemployed,None,No Religion
37,Pinewood Bridge,Liam,Smith,42,Son,Widowed,Male,Set designer,None,No Religion
38,Pinewood Bridge,Julian,Cooper,83,Head,Widowed,Male,Retired Theatre stage manager,None,Christian
39,Pinewood Bridge,Antony,Scott,48,Head,Married,Male,Electronics engineer,None,Christian
39,Pinewood Bridge,Gillian,Scott,44,Wife,Married,Female,Product designer,None,Christian
39,Pinewood Bridge,Raymond,Scott,9,Son,NA,Male,Student,None,Christian
39,Pinewood Bridge,Leigh,Scott,8,Son,NA,Male,Student,None,Christian
39,Pinewood Bridge,Gary,Scott,5,Son,NA,Male,Student,None,Christian
40,Pinewood Bridge,Claire,Russell-Browne,59,Head,Married,Female,Seismic interpreter,None,No Religion
40,Pinewood Bridge,Ross,Russell-Browne,58,Husband,Married,Male,Printmaker,None,No Religion
40,Pinewood Bridge,Grace,Russell-Browne,17,Daughter,NA,Female,Student,None,No Religion
40,Pinewood Bridge,Ian,Russell-Browne,14,Son,NA,Male,Student,None,No Religion
41,Pinewood Bridge,Nicola,Welch,83,Head,Widowed,Female,Retired Oncologist,None,Christian
42,Pinewood Bridge,Dorothy,Davis,69,Head,Married,Female,Retired Financial planner,None,Christian
42,Pinewood Bridge,Toby,Davis,68,Husband,Married,Male,Retired Diagnostic radiographer,None,Christian
43,Pinewood Bridge,Craig,Dennis,81,Head,Widowed,Male,Retired Farm manager,None,No Religion
43,Pinewood Bridge,Donna,Higgins,18,Granddaughter,Divorced,Female,Student,None,No Religion
43,Pinewood Bridge,Kathleen,Higgins,16,Granddaughter,NA,Female,Student,None,NA
43,Pinewood Bridge,Hugh,Higgins,13,Grandson,Married,Male,Student,None,NA
44,Pinewood Bridge,Callum,Matthews,22,Head,Single,Male,University Student,None,No Religion
45,Pinewood Bridge,Maureen,Clarke,49,Head,Married,Female,Unemployed,None,Christian
45,Pinewood Bridge,Martyn,Clarke,47,Husband,Married,Male,"Conservator, furniture",None,Christian
45,Pinewood Bridge,Daniel,Clarke,17,Son,NA,Male,Student,None,Christian
46,Pinewood Bridge,Laura,Bradshaw,34,Head,Divorced,Female,Unemployed,None,Muslim
46,Pinewood Bridge,Philip,Bradshaw,1,Son,NA,Male,Child,None,NA
46,Pinewood Bridge,Robert,Quinn,49,Lodger,Single,Male,Warehouse manager,None,No Religion
46,Pinewood Bridge,Reece,Jones,25,Lodger,Divorced,Male,"Librarian, academic",None,No Religion
47,Pinewood Bridge,Kim,Gregory,47,Head,Married,Female,Quantity surveyor,None,Christian
47,Pinewood Bridge,Ronald,Gregory,50,Husband,Married,Male,Archivist,None,No Religion
47,Pinewood Bridge,Eric,Gregory,21,Son,Single,Male,University Student,None,Christian
47,Pinewood Bridge,Clive,Gregory,17,Son,NA,Male,Student,None,
47,Pinewood Bridge,Vincent,Gregory,16,Son,NA,Male,Student,None,Christian
48,Pinewood Bridge,Iain,Singh,72,Head,Widowed,Male,"Retired Teacher, adult education",None,No Religion
49,Pinewood Bridge,Carol,Holland,30,Head,Single,Female,Unemployed,None,Christian
49,Pinewood Bridge,Sally,Holland,3,Daughter,NA,Female,Child,None,NA
49,Pinewood Bridge,Chloe,Chapman,58,Lodger,Single,Female,Aeronautical engineer,None,Christian
49,Pinewood Bridge,Leah,Martin,36,Lodger,Single,Female,"Investment banker, operational",None,Christian
50,Pinewood Bridge,Tom,Buckley,17,Head,Married,Male,Student,None,
50,Pinewood Bridge,Diana,Buckley,19,Wife,Married,Female,University Student,None,
50,Pinewood Bridge,Gillian,Buckley,2,Daughter,NA,Female,Child,None,
50,Pinewood Bridge,Gillian,Fletcher,26,Lodger,Single,Female,Orthoptist,None,Christian
51,Pinewood Bridge,Louise,Evans,47,Head,Single,Female,Radio broadcast assistant,None,Christian
51,Pinewood Bridge,Sam,George,47,Partner,Single,Male,Community pharmacist,None,Christian
51,Pinewood Bridge,Hazel,Evans,19,Daughter,Single,Female,University Student,None,Christian
51,Pinewood Bridge,Brenda,Evans,15,Daughter,NA,Female,Student,None,No Religion
52,Pinewood Bridge,Annette,Davidson,42,Head,Single,Female,Unemployed,None,No Religion
52,Pinewood Bridge,Vanessa,Davidson,16,Daughter,NA,Female,Student,None,NA
52,Pinewood Bridge,Garry,Davidson,16,Son,NA,Male,Student,None,NA
52,Pinewood Bridge,Paul,Davidson,14,Son,NA,Male,Student,None,NA
53,Pinewood Bridge,Julian,Reynolds,50,Head,Single,Male,"Journalist, newspaper",None,No Religion
53,Pinewood Bridge,Garry,Birch,45,None,Single,Male,IT trainer,None,Christian
53,Pinewood Bridge,Iain,O'Neill,33,None,Divorced,Male,Educational psychologist,None,No Religion
53,Pinewood Bridge,Janice,Lambert,31,None,Single,Female,Unemployed,None,Christian
54,Pinewood Bridge,Kelly,Hussain,34,Head,Married,Female,Chief Executive Officer,None,No Religion
54,Pinewood Bridge,Jeremy,Hussain,33,Husband,Married,Male,Diagnostic radiographer,None,No Religion
54,Pinewood Bridge,Lynne,Hussain,9,Daughter,NA,Female,Student,None,No Religion
54,Pinewood Bridge,Jonathan,Hussain,7,Son,NA,Male,Student,None,No Religion
1,Bastillepond Street,Lindsey,Mellor,27,Head,Divorced,Female,Video editor,None,No Religion
2,Bastillepond Street,Christian,Green,76,Head,Married,Male,Retired Clinical psychologist,None,Christian
2,Bastillepond Street,Kate,Green,77,Wife,Married,Female,Retired Dispensing optician,None,No Religion
3,Bastillepond Street,Dennis,Cunningham,82,Head,Married,Male,Retired Theatre stage manager,None,No Religion
3,Bastillepond Street,Donna,Cunningham,83,Wife,Married,Female,Retired Personnel officer,None,No Religion
4,Bastillepond Street,Clare,Flynn,38,Head,Divorced,Female,Unemployed,None,Christian
4,Bastillepond Street,Rachel,Flynn,20,Daughter,Single,Female,University Student,None,Christian
4,Bastillepond Street,Eric,Flynn,18,Son,Widowed,Male,Student,None,Christian
4,Bastillepond Street,Jay,Flynn,14,Son,NA,Male,Student,None,NA
5,Bastillepond Street,Brian,James,70,Head,Single,Male,Retired Location manager,None,Christian
6,Bastillepond Street,Derek,Thompson,88,Head,Married,Male,Retired Water engineer,None,Christian
6,Bastillepond Street,Ruth,Thompson,87,Wife,Married,Female,Retired Chief Marketing Officer,None,No Religion
7,Bastillepond Street,Alison,Smith,63,Head,Married,Female,Air traffic controller,None,Christian
7,Bastillepond Street,Ian,Smith,65,Husband,Married,Male,Publishing copy,None,No Religion
7,Bastillepond Street,Denis,Smith,33,Son,Divorced,Male,Diplomatic Services operational officer,None,No Religion
7,Bastillepond Street,Richard,Smith,30,Son,Single,Male,Unemployed,None,No Religion
1,Glasgow Walks,Alice,Bruce,76,Head,Widowed,Female,"Retired Nurse, adult",None,No Religion
2,Glasgow Walks,Carolyn,Jackson,89,Head,Single,Female,Retired Chief Strategy Officer,None,Christian
3,Glasgow Walks,Fiona,Williams,60,Head,Single,Female,Youth worker,None,Christian
3,Glasgow Walks,Catherine,James,33,None,Single,Female,"Nurse, mental health",None,Christian
3,Glasgow Walks,Hazel,Anderson,26,None,Single,Female,Ophthalmologist,None,No Religion
4,Glasgow Walks,Nicola,Barker,42,Head,Married,Female,Agricultural consultant,None,Christian
4,Glasgow Walks,Frederick,Barker,45,Husband,Married,Male,"Designer, blown glass/stained glass",None,
5,Glasgow Walks,Raymond,Taylor,91,Head,Widowed,Male,Retired Comptroller,None,Christian
6,Glasgow Walks,Malcolm,Conway,69,Head,Divorced,Male,"Retired Editor, commissioning",None,No Religion
7,Glasgow Walks,Patricia,Mills,63,Head,Divorced,Female,Rural practice surveyor,None,Christian
8,Glasgow Walks,Joan,Edwards,66,Head,Widowed,Female,Clinical cytogeneticist,None,Christian
9,Glasgow Walks,Gregory,Brown,35,Head,Married,Male,Ophthalmologist,None,Hindu
9,Glasgow Walks,Shannon,Brown,36,Wife,Married,Female,Music therapist,None,No Religion
10,Glasgow Walks,Eric,Law,50,Head,Widowed,Male,"Engineer, mining",None,Christian
11,Glasgow Walks,Caroline,Allen,32,Head,Single,Female,"Education officer, environmental",None,Christian
11,Glasgow Walks,Carolyn,Allen,4,Daughter,NA,Female,Child,None,NA
12,Glasgow Walks,Sian,Bruce,74,Head,Divorced,Female,Retired Engineering geologist,None,No Religion
13,Glasgow Walks,Terence,Graham,33,Head,Single,Male,Corporate investment banker,None,No Religion
14,Glasgow Walks,Henry,Freeman,80,Head,Widowed,Male,Retired Politician's assistant,None,Christian
15,Glasgow Walks,Rosie,Barnes,38,Head,Single,Female,Analytical chemist,None,Christian
16,Glasgow Walks,Grace,Savage,74,Head,Divorced,Female,Retired Consulting civil engineer,None,Christian
17,Glasgow Walks,Stuart,Wallace,18,Head,Married,Male,Student,None,
17,Glasgow Walks,Hilary,Wallace,19,Wife,Married,Female,University Student,None,No Religion
18,Glasgow Walks,Olivia,Robinson,64,Head,Married,Female,Unemployed,None,Christian
18,Glasgow Walks,Owen,Robinson,64,Husband,Married,Male,"Presenter, broadcasting",None,Christian
19,Glasgow Walks,Julie,Whitehouse,65,Head,Widowed,Female,Magazine features editor,None,Christian
20,Glasgow Walks,Carole,Ahmed,41,Head,Married,Female,"Accountant, chartered",None,Hindu
20,Glasgow Walks,Declan,Ahmed,45,Husband,Married,Male,Unemployed,None,Hindu
20,Glasgow Walks,Gillian,Ahmed,15,Daughter,NA,Female,Student,None,No Religion
21,Glasgow Walks,Keith,Davey,37,Head,Single,Male,"Sales professional, IT",None,No Religion
21,Glasgow Walks,Emily,Cox,35,Partner,Single,Female,Professor Emeritus,None,No Religion
22,Glasgow Walks,Michael,Marshall,82,Head,Divorced,Male,Retired Research scientist (maths),None,Sikh
23,Glasgow Walks,Sandra,Walton,89,Head,Divorced,Female,Retired Chartered loss adjuster,None,Christian
24,Glasgow Walks,Jonathan,Perry,70,Head,Single,Male,Retired Heritage manager,None,Christian
25,Glasgow Walks,Louise,Herbert,46,Head,Divorced,Female,Unemployed,None,Christian
25,Glasgow Walks,Geoffrey,Herbert,17,Son,NA,Male,Student,None,NA
25,Glasgow Walks,Andrea,Herbert,17,Daughter,NA,Female,Student,None,NA
26,Glasgow Walks,Maria,Kirby,61,Head,Single,Female,"Producer, television/film/video",None,Christian
26,Glasgow Walks,Stanley,Kirby,43,Son,Divorced,Male,Bookseller,None,Christian
27,Glasgow Walks,Lindsey,Evans,53,Head,Single,Female,"Editor, film/video",None,Christian
28,Glasgow Walks,Jenna,Morgan,34,Head,Married,Female,Geographical information systems officer,None,Muslim
28,Glasgow Walks,Jonathan,Morgan,35,Husband,Married,Male,International aid/development worker,None,No Religion
28,Glasgow Walks,Toby,Morgan,10,Son,NA,Male,Student,None,No Religion
29,Glasgow Walks,Samantha,Sykes,74,Head,Widowed,Female,"Retired Librarian, academic",None,Christian
30,Glasgow Walks,Leonard,Todd,35,Head,Single,Male,Legal secretary,None,Christian
31,Glasgow Walks,Carole,Evans,51,Head,Single,Female,Senior tax professional/tax inspector,None,Christian
31,Glasgow Walks,Edward,Bryant,51,Partner,Single,Male,Ambulance person,None,Christian
31,Glasgow Walks,Geraldine,Evans,17,Daughter,NA,Female,Student,None,
32,Glasgow Walks,Nicola,Cooper,46,Head,Single,Female,Veterinary surgeon,None,No Religion
33,Glasgow Walks,Michelle,Baker,26,Head,Single,Female,Educational psychologist,None,Christian
34,Glasgow Walks,Kate,Owen,69,Head,Single,Female,Retired Dance movement psychotherapist,None,Christian
35,Glasgow Walks,Marian,Price,57,Head,Married,Female,Ecologist,None,Christian
35,Glasgow Walks,Louis,Price,57,Husband,Married,Male,Commercial art gallery manager,None,No Religion
35,Glasgow Walks,Jordan,Price,17,Son,NA,Male,Student,None,Christian
36,Glasgow Walks,Robin,Stanley,19,Head,Single,Male,University Student,None,No Religion
36,Glasgow Walks,Oliver,Lloyd,19,None,Single,Male,University Student,None,
37,Glasgow Walks,Linda,Andrews,72,Head,Widowed,Female,Retired Consulting civil engineer,None,Christian
38,Glasgow Walks,Katie,Ashton,25,Head,Married,Female,"Therapist, speech and language",None,No Religion
38,Glasgow Walks,Phillip,Ashton,25,Husband,Married,Male,"Journalist, broadcasting",None,No Religion
38,Glasgow Walks,Mary,Ashton,5,Daughter,NA,Female,Student,None,No Religion
38,Glasgow Walks,Kate,Ashton,3,Daughter,NA,Female,Child,None,No Religion
39,Glasgow Walks,Eileen,Baker,52,Head,Divorced,Female,"Accountant, chartered certified",None,Christian
40,Glasgow Walks,Marion,Hancock,57,Head,Single,Female,Cabin crew,None,Christian
41,Glasgow Walks,Rita,Abbott,87,Head,Widowed,Female,Retired Quality manager,None,No Religion
42,Glasgow Walks,Sam,Hardy,32,Head,Single,Male,Estate manager/land agent,None,No Religion
42,Glasgow Walks,Callum,Houghton,33,None,Single,Male,Unemployed,None,Christian
42,Glasgow Walks,Charlotte,Hancock,54,None,Single,Female,"Engineer, water",None,Christian
43,Glasgow Walks,Duncan,Nicholls,21,Head,Single,Male,University Student,None,Christian
44,Glasgow Walks,Susan,Butler,38,Head,Married,Female,Architect,None,Christian
44,Glasgow Walks,Damian,Butler,40,Husband,Married,Male,Control and instrumentation engineer,None,Christian
44,Glasgow Walks,Jay,Butler,12,Son,NA,Male,Student,None,No Religion
45,Glasgow Walks,Mitchell,Doyle,64,Head,Single,Male,Associate Professor,None,Christian
45,Glasgow Walks,Jake,Sharp,59,None,Single,Male,Lexicographer,None,No Religion
46,Glasgow Walks,Louise,Hussain,70,Head,Widowed,Female,Retired Chartered accountant,None,Christian
47,Glasgow Walks,Mary,Buckley,35,Head,Married,Female,"Scientist, marine",None,Christian
47,Glasgow Walks,Hugh,Buckley,37,Husband,Married,Male,"Accountant, chartered public finance",None,Christian
47,Glasgow Walks,Henry,Buckley,1,Son,NA,Male,Child,None,Christian
47,Glasgow Walks,Elliott,Harris,48,Lodger,Single,Male,Glass blower/designer,None,Christian
48,Glasgow Walks,Wayne,Webb,72,Head,Widowed,Male,Retired Heritage manager,None,No Religion
49,Glasgow Walks,Dean,Wood,21,Head,Single,Male,Horticultural therapist,None,Muslim
50,Glasgow Walks,Anna,Taylor,49,Head,Divorced,Female,Volunteer coordinator,None,Christian
50,Glasgow Walks,Grace,Taylor,20,Daughter,Single,Female,University Student,None,Christian
50,Glasgow Walks,Marian,Taylor,17,Daughter,NA,Female,Student,None,NA
51,Glasgow Walks,Terence,Watson,69,Head,Widowed,Male,Retired Best boy,None,Christian
52,Glasgow Walks,Mohammad,Green,77,Head,Divorced,Male,"Retired Journalist, magazine",None,Christian
53,Glasgow Walks,Mohamed,Bell,45,Head,Single,Male,Chief Operating Officer,None,Christian
54,Glasgow Walks,Rebecca,Hart,29,Head,Single,Female,Ambulance person,None,No Religion
55,Glasgow Walks,Janice,Smith,68,Head,Single,Female,Retired Hydrologist,None,Christian
56,Glasgow Walks,Bruce,Smith,25,Head,Single,Male,Industrial/product designer,None,No Religion
57,Glasgow Walks,Stuart,Evans,59,Head,Widowed,Male,Forensic psychologist,None,Christian
58,Glasgow Walks,Carly,Adams,41,Head,Single,Female,"Development worker, community",None,Christian
59,Glasgow Walks,Gareth,Bartlett,83,Head,Divorced,Male,"Retired Librarian, academic",None,No Religion
60,Glasgow Walks,Antony,Graham,61,Head,Divorced,Male,Unemployed,None,No Religion
61,Glasgow Walks,Gemma,Griffin,80,Head,Married,Female,Retired Advice worker,None,Christian
61,Glasgow Walks,Aaron,Griffin,82,Husband,Married,Male,Retired Solicitor,None,Christian
62,Glasgow Walks,Hayley,Burke,35,Head,Married,Female,"Teacher, English as a foreign language",None,Christian
62,Glasgow Walks,Liam,Burke,41,Husband,Married,Male,"Administrator, sports",None,No Religion
62,Glasgow Walks,Emily,Bailey,27,Lodger,Single,Female,"Engineer, communications",None,No Religion
63,Glasgow Walks,Brenda,Thomas,21,Head,Single,Female,University Student,None,Muslim
64,Glasgow Walks,Sarah,Wallace,33,Head,Single,Female,"Sound technician, broadcasting/film/video",None,No Religion
65,Glasgow Walks,Reece,Morgan,21,Head,Married,Male,University Student,None,No Religion
65,Glasgow Walks,Gillian,Morgan,19,Wife,Married,Female,University Student,None,No Religion
66,Glasgow Walks,June,Ahmed,40,Head,Married,Female,Medical secretary,None,No Religion
66,Glasgow Walks,Louis,Ahmed,36,Husband,Married,Male,"Doctor, general practice",None,No Religion
67,Glasgow Walks,John,Williams,71,Head,Divorced,Male,Retired Research scientist (physical sciences),None,Christian
68,Glasgow Walks,Gareth,Parker,49,Head,Married,Male,Unemployed,None,No Religion
68,Glasgow Walks,Debra,Parker,44,Wife,Married,Female,Pathologist,Deaf,No Religion
69,Glasgow Walks,Roger,O'Connor,36,Head,Single,Male,Unemployed,None,Christian
69,Glasgow Walks,Rita,Matthews,30,None,Single,Female,Broadcast engineer,None,No Religion
70,Glasgow Walks,Amy,Goodwin,30,Head,Married,Female,Therapeutic radiographer,None,Christian
70,Glasgow Walks,Karl,Goodwin,32,Husband,Married,Male,Manufacturing systems engineer,None,No Religion
71,Glasgow Walks,Alex,Spencer,25,Head,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Hindu
72,Glasgow Walks,Kevin,Hughes,24,Head,Single,Male,"Scientist, audiological",None,No Religion
73,Glasgow Walks,Sally,Hale,39,Head,Single,Female,Unemployed,None,No Religion
73,Glasgow Walks,Jane,Hale,6,Daughter,NA,Female,Student,None,NA
73,Glasgow Walks,Caroline,Hale,4,Daughter,NA,Female,Child,None,NA
74,Glasgow Walks,Adam,Gray,80,Head,Divorced,Male,Retired Sports therapist,None,Christian
75,Glasgow Walks,Sarah,Connolly,78,Head,Widowed,Female,Retired Arts administrator,None,Christian
76,Glasgow Walks,Wendy,Marsh,62,Head,Single,Female,"Engineer, manufacturing",None,No Religion
77,Glasgow Walks,Kerry,Hope,23,Head,Single,Female,Chief Financial Officer,None,Christian
78,Glasgow Walks,Shaun,Thomas,28,Head,Divorced,Male,Industrial buyer,None,Muslim
78,Glasgow Walks,Lindsey,Thomas,3,Daughter,NA,Female,Child,None,NA
79,Glasgow Walks,Melanie,Goddard,34,Head,Single,Female,Set designer,None,No Religion
79,Glasgow Walks,Jade,Jones,56,None,Single,Female,"Scientist, physiological",None,Christian
80,Glasgow Walks,Jamie,Brown,30,Head,Single,Male,Radio producer,None,Christian
